year,1,2,3,4,5,6,7,8,9,10,11,12
2004,18.37,16.46,21.63,22.65,21.5,20.62,21.87,22.08,16.25,17.48,19.16,19.46
2005,18.37,16.46,21.63,22.65,21.5,20.62,21.87,22.08,16.25,17.48,19.16,19.46
2006,18.37,16.46,21.63,22.65,21.5,20.62,21.87,22.08,16.25,17.48,19.16,19.46
2007,18.37,16.46,21.63,22.65,21.5,20.62,21.87,22.08,16.25,17.48,19.16,19.46
2008,19.46,19.26,19.69,19.87,20.0,17.6,19.05,16.97,16.12,15.98,15.86,13.17
2009,12.92,12.0,15.39,17.37,17.0,21.9,19.54,26.72,17.88,19.6,32.0,31.96
2010,27.15,30.37,36.38,40.74,38.45,22.33,23.75,41.1,27.71,38.0,33.95,31.29
2011,32.71,26.77,31.34,31.04,31.03,30.0,23.84,23.75,21.48,20.37,25.21,23.51
2012,21.93,23.37,25.25,18.54,19.54,20.59,19.2,19.68,20.0,20.55,22.02,17.65
2013,18.82,20.2,21.14,29.72,28.54,25.35,23.75,23.75,18.85,18.56,25.6,32.56
2014,33.45,32.15,34.3,32.52,31.25,31.0,30.33,29.4,33.2,34.37,31.4,34.1
2015,34.0,33.54,32.89,31.7,32.56,33.8,36.88,36.88,34.32,33.36,30.86,30.0
2016,32.39,37.91,26.31,28.04,38.0,30.52,23.97,28.14,28.76,25.43,26.18,23.81
2017,22.04,22.51,21.46,22.41,27.76,24.87,25.96,37.61,29.07,28.51,18.83,17.81
2018,16.24,18.62,21.37,24.73,26.84,25.15,20.96,17.03,22.0,21.78,22.12,21.26
2019,21.34,22.93,24.21,23.57,18.66,19.33,18.71,21.73,21.87,21.66,21.47,25.0
2020,24.16,25.99,25.31,24.23,25.45,21.62,24.31,24.65,21.27,20.21,21.21,26.27
2021,25.29,28.92,29.27,25.82,22.17,21.79,22.65,24.38,27.36,27.85,20.17,22.56
2022,23.74,23.37,21.86,22.16,24.35,25.24,19.63,21.2,23.51,29.6,32.9,31.81
2023,33.8,32.22,27.8,28.85,28.5,27.28,26.5,24.42,25.0,24.75,25.95,23.43
2024,25.11,25.0,26.34,25.62,25.0,25.0,25.0,27.5,31.0,30.0,24.0,23.28
